Site_ID,Site_Type,Area,Region,LastModified_Date
G2850,3G,North Coast East,Alexandria,4/27/2014 14:03
G2866,3G,North Coast East,Alexandria,4/27/2014 14:03
G2893,3G,Alex_4,Alexandria,4/27/2014 14:03
G2920,3G,Alex_2,Alexandria,4/27/2014 14:03
G4105,3G,Alex_4,Alexandria,4/27/2014 14:03
G4120,3G,Alex Desert Road,Alexandria,4/27/2014 14:03
G4122,3G,Alex Desert Road,Alexandria,4/27/2014 14:03
G4125,3G,North Coast East,Alexandria,4/27/2014 14:03
G4216,3G,North Coast West,Alexandria,4/27/2014 14:03
G4388,3G,Alex Desert Road,Alexandria,4/27/2014 14:03
G4486,3G,Alex_4,Alexandria,4/27/2014 14:03
\N,2G,Alex Desert Road,Alexandria,4/27/2014 14:03
\N,2G,Alex_1,Alexandria,4/27/2014 14:03
\N,2G,Alex_4,Alexandria,4/27/2014 14:03
\N,2G,Alex Desert Road,Alexandria,4/27/2014 14:03
\N,2G,North Coast East,Alexandria,4/27/2014 14:03
457,2G,Heliopolis and Nozha,Cairo,4/27/2014 14:03
681,2G,Helwan,Cairo,4/27/2014 14:03
924,2G,Heliopolis and Nozha,Cairo,4/27/2014 14:03
977,2G,Abbassyia,Cairo,4/27/2014 14:03
1222,2G,Shubra El-Khima,Cairo,4/27/2014 14:03
1334,2G,Shubra El-Khima,Cairo,4/27/2014 14:03
1371,2G,Down Town and Manyal,Cairo,4/27/2014 14:03
G0059,3G,Down Town and Manyal,Cairo,4/27/2014 14:03
G0071,3G,Zaitoun and Qubba,Cairo,4/27/2014 14:03
G0073,3G,Nasr City,Cairo,4/27/2014 14:03
G0095,3G,Obour,Cairo,4/27/2014 14:03
G0112,3G,Abbassyia,Cairo,4/27/2014 14:03
G0138,3G,Maadi,Cairo,4/27/2014 14:03
G0150,3G,Matarya,Cairo,4/27/2014 14:03
974,2G,Heliopolis and Nozha,Cairo,4/27/2014 14:03
1091,2G,Moukattam,Cairo,4/27/2014 14:03
1142,2G,Down Town and Manyal,Cairo,4/27/2014 14:03
1173,2G,Shubra,Cairo,4/27/2014 14:03
1254,2G,Helwan,Cairo,4/27/2014 14:03
1333,2G,Down Town and Manyal,Cairo,4/27/2014 14:03
G0014,3G,Airport,Cairo,4/27/2014 14:03
G0025,3G,Shubra El-Khima,Cairo,4/27/2014 14:03
G0033,3G,Shubra,Cairo,4/27/2014 14:03
G0071,3G,Zaitoun and Qubba,Cairo,4/27/2014 14:03
G0071,3G,Zaitoun and Qubba,Cairo,4/27/2014 14:03
G0116,3G,Heliopolis and Nozha,Cairo,4/27/2014 14:03
G0174,3G,Zaitoun and Qubba,Cairo,4/27/2014 14:03
G0197,3G,Down Town and Manyal,Cairo,4/27/2014 14:03
G0248,3G,10th of Ramadan,Cairo,4/27/2014 14:03
