Change ID*+,Impact*,Submitter*,Support Company*+,Support Organization,Support Group Name,Scheduled Start Date+,Scheduled End Date+,Summary*,Notes,Urgency*,Risk Level*
CRQ000000067719,4-Minor/Localized,SShaker1,Fixed Network Installation,ACCESS CONFIGURATION,ACCESS CONFIGURATION,6/18/2012 17:00,6/18/2012 20:00,adding DSLAMs and NE20 to TACACS and Bastion,"adding DSLAMs and NE20 to TACACS and Bastion    Tourah ADSL Alcatel DSLAM:172.31.60.66/30    Tourah SDSL Alctael DSLAM: 172.31.52.2/30    NE20 Tourah:   Loopback: 172.31.3.11	  P2P: 172.21.18.114/30    NE20 Marg2:   Loopback: 172.31.3.12	  P2P: 172.21.18.126/30  ",4-Low,Risk Level 1
CRQ000000066870,4-Minor/Localized,MDarwish9,Service Operation,Technology,Charging,6/6/2012 0:00,6/7/2012 0:00,tariff update  ,vtariff update  ,4-Low,Risk Level 1
CRQ000000066711,4-Minor/Localized,MDarwish9,Service Operation,Technology,Charging,6/5/2012 0:00,6/6/2012 0:00,Link SC724 and 725 to 9999,Link SC724 and 725 to 9999,4-Low,Risk Level 1
CRQ000000066635,4-Minor/Localized,MGazzar1,Prepaid Charging,Technology,Prepaid Charging,6/5/2012 21:30,6/5/2012 21:45,ADSL deployment to fix renewal issue with zero deduction,1- Replace the ADSL.jar under the path   /data/home/datahdlr/apps/ADSL/DslApplication_Charger/lib with    ADSL.jar under path  /data/home/datahdlr/apps/ADSL/backup/04-06-12    Machine IP : 172.21.5.101  ,4-Low,Risk Level 1
CRQ000000066421,4-Minor/Localized,MDarwish9,Service Operation,Technology,Charging,5/31/2012 0:00,5/31/2012 4:00,tariff update,tariff update,4-Low,Risk Level 1
CRQ000000066104,4-Minor/Localized,MDarwish9,Service Operation,Technology,Charging,5/28/2012 0:00,5/28/2012 0:22,tariff update  ,tariff update,4-Low,Risk Level 1
CRQ000000065917,4-Minor/Localized,MDarwish9,Service Operation,Technology,Charging,5/27/2012 9:36,5/27/2012 11:41,Tariff Update,Tariff Update to set capping for Friends SMS addons (SOB10) to be 50 SMS/day    -Please Activate Rating Tree 5 and Accumulator Tree 19    Test Scenario:  -add msisdn on friends SC  -add SOB10  -add family to the msisdn  -Reset Accumulator 10  -send SMS to family      Result:  SMS should be 0 rated and accumulator 10 counts.  ,4-Low,Risk Level 1
CRQ000000065623,4-Minor/Localized,MDarwish9,Service Operation,Technology,Charging,5/22/2012 0:00,5/23/2012 0:20,Accumulator account definition group 724,Accumulator account definition group 724,4-Low,Risk Level 1
CRQ000000064318,4-Minor/Localized,SNabil2,Service Operation,Technology,Charging,5/15/2012 14:07,5/15/2012 16:12,s,as,4-Low,Risk Level 1
CRQ000000063082,4-Minor/Localized,SNabil2,Service Operation,Technology,Charging,5/9/2012 12:23,5/9/2012 14:28,dh,fhjy,4-Low,Risk Level 1
CRQ000000060068,4-Minor/Localized,SHatem,Products & Services Delivery,Technology,P&SD Billing,4/11/2012 9:52,4/11/2012 11:57,HLR GW upgrade,add IP to ist,4-Low,Risk Level 1
CRQ000000059445,2-Significant/Large,tezz,Service Operation,Technology,IN,4/3/2012 7:00,4/4/2012 17:37,integration new mediation system,It is permenant access,2-High,Risk Level 1
CRQ000000059096,4-Minor/Localized,FIsmail5,Prepaid Charging,Technology,Prepaid Charging,3/29/2012 2:00,3/29/2012 6:00,Grandfathering SCs in IVR 880 and 848,Grandfathering SCs in IVR 880 and 848,4-Low,Risk Level 1
CRQ000000057504,2-Significant/Large,tezz,Service Operation,Technology,IN,3/13/2012 0:00,3/15/2012 0:00,integration new mediation system,It is permenant access,2-High,Risk Level 4
CRQ000000056977,4-Minor/Localized,MDarwish9,Service Operation,Technology,Charging,3/6/2012 23:59,3/7/2012 7:00,tarrif update,tarrif update,2-High,Risk Level 1
CRQ000000056511,4-Minor/Localized,MSobieh,Service Operation,Technology,IN,2/29/2012 12:02,2/29/2012 14:07,Change node behavior on Error,Change behavior of CCAT node on SDP stream to make it restart when error occures,4-Low,Risk Level 1
CRQ000000056458,4-Minor/Localized,FDardery,Service Operation,Technology,IN,2/29/2012 10:00,2/29/2012 10:30,Modify node parameters in the IN_SDP_Processing stream,change the behaviouronerror parameter of the CCAT node.,4-Low,Risk Level 1
CRQ000000056449,4-Minor/Localized,FDardery,Service Operation,Technology,IN,2/29/2012 8:04,2/29/2012 10:09,Modify node parameter in IN_SDP_Processing stream,change parameter of behaviouronerror of the CCAT node,4-Low,Risk Level 1
CRQ000000054050,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,2/1/2012 0:00,2/1/2012 6:00,SMS changes,1- Modify the MO-Test rule to create CDRs by asign the submission to default  2- Move all the collected CDRs to temp directory,4-Low,Risk Level 1
CRQ000000053340,4-Minor/Localized,AMegahed2,Service Operation,Technology,Payment,1/22/2012 13:19,1/22/2012 15:24,Failover DB node from DB2 to DB1 in OVI,Failover DB node from DB2 to DB1 in OVI,4-Low,Risk Level 1
CRQ000000053334,4-Minor/Localized,AMegahed2,Service Operation,Technology,Payment,1/22/2012 13:06,1/22/2012 15:11,Failover etopup web2 back to web1,Failover etopup web2 back to web1,4-Low,Risk Level 1
CRQ000000053100,4-Minor/Localized,MSobieh,Service Operation,Technology,IN,1/19/2012 11:31,1/19/2012 13:36,Modify IMSI ranges routed to prepaid server on E/// BGW,move range 60202207 of IMSIs routed to Server-2 as a solution for its slow performance,2-High,Risk Level 1
CRQ000000052789,4-Minor/Localized,Hsharkawy1,Service Operation,Technology,Payment,1/18/2012 3:02,1/18/2012 4:07,pm task,cmdb failover,2-High,Risk Level 1
CRQ000000052353,4-Minor/Localized,MMabrouk1,Service Operation,Technology,Payment,1/12/2012 12:51,1/12/2012 14:56,etopup app failover,etopup app failover,4-Low,Risk Level 1
CRQ000000052351,4-Minor/Localized,MMabrouk1,Service Operation,Technology,Payment,1/12/2012 12:46,1/12/2012 14:51,etopup application filover,etopup application filover,4-Low,Risk Level 1
CRQ000000052349,4-Minor/Localized,MMabrouk1,Service Operation,Technology,Payment,1/12/2012 12:44,1/12/2012 14:49,Etopup Tomcat failover,Etopup Tomcat failover,4-Low,Risk Level 1
CRQ000000052328,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,1/13/2012 1:00,1/13/2012 2:00,update FTD firewall configurations to block spoofing SMS,update FTD firewall configurations to block spoofing SMS,4-Low,Risk Level 1
CRQ000000052325,4-Minor/Localized,MMabrouk1,Service Operation,Technology,Payment,1/12/2012 9:47,1/12/2012 11:52,E-topup application failover,E-topup application failover,4-Low,Risk Level 1
CRQ000000052314,4-Minor/Localized,MMabrouk1,Service Operation,Technology,Payment,1/12/2012 8:34,1/12/2012 10:39,E-topup DB Failover,E-topup DB Failover,4-Low,Risk Level 1
CRQ000000052256,4-Minor/Localized,MMabrouk1,Service Operation,Technology,Payment,1/11/2012 12:34,1/11/2012 14:39,web server failover,web server failover,4-Low,Risk Level 1
CRQ000000052243,4-Minor/Localized,MMabrouk1,Service Operation,Technology,Payment,1/11/2012 11:28,1/11/2012 13:33,Etopup DB Failover,Etopup DB Failover,4-Low,Risk Level 1
CRQ000000052238,4-Minor/Localized,MMabrouk1,Service Operation,Technology,Payment,1/11/2012 11:21,1/11/2012 13:26,failover CMDB,failover CMDB,4-Low,Risk Level 1
CRQ000000052021,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,1/10/2012 1:00,1/10/2012 2:00,install patches P54-56 on your zhr-omn cluster and P56 on your BMS cluster.,install patches P54-56 on your zhr-omn cluster and P56 on your BMS cluster.,4-Low,Risk Level 1
CRQ000000051910,4-Minor/Localized,MSobieh,Service Operation,Technology,IN,1/6/2012 18:04,1/6/2012 20:09,Clear scheduling of 'TAP_RAC_Enco',Clear scheduling of 'TAP_RAC_Enco'  in TAP_FILE_Processing_Stream to create one output file per input file.,4-Low,Risk Level 1
CRQ000000051747,4-Minor/Localized,GMoustafa,Service Operation,Technology,Charging,1/4/2012 9:24,1/4/2012 11:29,tariff test will be done to solve,ghghgh,4-Low,Risk Level 1
CRQ000000051711,4-Minor/Localized,myounes2,Service Operation,Technology,IN,1/3/2012 18:40,1/3/2012 20:45,"define new ranges on VPN1,2,3,4","	SET:MO_JAS:DN,""pflFeatureName=PFL,vpnServiceName=JVPN,providerName=Vodafone,applicationName=JasManObj,nodeName=jambala"":pflMsisdnToSdpList,+""10210:49"";    	SET:MO_JAS:DN,""pflFeatureName=PFL,vpnServiceName=JVPN,providerName=Vodafone,applicationName=JasManObj,nodeName=jambala"":pflMsisdnToSdpList,+""10211:49"";  	  	SET:MO_JAS:DN,""pflFeatureName=PFL,vpnServiceName=JVPN,providerName=Vodafone,applicationName=JasManObj,nodeName=jambala"":pflMsisdnToSdpList,+""10212:50"";    	SET:MO_JAS:DN,""pflFeatureName=PFL,vpnServiceName=JVPN,providerName=Vodafone,applicationName=JasManObj,nodeName=jambala"":pflMsisdnToSdpList,+""10213:50"";    	SET:MO_JAS:DN,""pflFeatureName=PFL,vpnServiceName=JVPN,providerName=Vodafone,applicationName=JasManObj,nodeName=jambala"":pflMsisdnToSdpList,+""10214:38"";",4-Low,Risk Level 1
CRQ000000051094,4-Minor/Localized,MSobieh,Service Operation,Technology,IN,12/26/2011 12:28,12/26/2011 14:33,Add TZ values for NZ on CCN14,"Change below parameters for CAPV2 on CCN 14:  location information 	(6421600001)	timezone value ( 52 )  location information 	(64)		timezone value ( 52 )  And rollback the change after test.  ",4-Low,Risk Level 1
CRQ000000050601,4-Minor/Localized,hzikri,Service Operation,Technology,IN,12/22/2011 8:33,12/22/2011 10:38,sfdvsfd,zxczxcz,4-Low,Risk Level 1
CRQ000000050293,4-Minor/Localized,MSobieh,Service Operation,Technology,IN,12/19/2011 14:29,12/19/2011 16:34,Adding route from Comptel offline HQ to SGSN5:  ,"on offline HQ AP node, as root user:   route add 172.27.254.32 10.255.223.193",2-High,Risk Level 1
CRQ000000049754,4-Minor/Localized,AMegahed2,Service Operation,Technology,Payment,12/13/2011 8:30,12/13/2011 10:35,Login to WAS IVR21 with user 1  Change Support Networked Call Center from No to YES  Press Submit,Login to WAS IVR21 with user 1  Change Support Networked Call Center from No to YES  Press Submit,4-Low,Risk Level 1
CRQ000000049739,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,12/13/2011 6:50,12/13/2011 8:55,change amsPropNetworkAlertDelayTime value temporally,change amsPropNetworkAlertDelayTime value temporally,4-Low,Risk Level 1
CRQ000000049694,3-Moderate/Limited,ASalem12,,,,12/13/2011 2:00,12/13/2011 5:00,Change OMN BMS config,to fix cconf_logger problem,2-High,Risk Level 1
CRQ000000049637,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,12/13/2011 2:00,12/13/2011 3:00,block MO SMS from range: +919997,block MO SMS from range: +919997,4-Low,Risk Level 1
